session_id,start_time,end_time,duration_minutes,total_raw_rows,active_raw_rows,max_current_A,max_voltage_V
26,2024-09-11T14:29:51+00:00,2024-09-11T15:11:28+00:00,41.62,597,403,242.0,411.0
27,2024-09-11T15:22:49+00:00,2024-09-11T15:47:01+00:00,24.2,350,156,163.0,375.0
28,2024-09-12T06:09:05+00:00,2024-09-12T07:06:02+00:00,56.95,832,576,253.0,411.0
29,2024-09-12T11:12:16+00:00,2024-09-12T11:21:18+00:00,9.03,130,66,193.0,375.0
30,2024-09-12T11:43:54+00:00,2024-09-12T11:52:18+00:00,8.4,120,72,245.0,375.0
31,2024-09-12T16:51:35+00:00,2024-09-12T17:27:56+00:00,36.35,530,415,251.0,410.0
32,2024-09-13T06:03:14+00:00,2024-09-13T06:53:22+00:00,50.13,654,488,247.0,411.0
33,2024-09-13T11:31:16+00:00,2024-09-13T12:05:53+00:00,34.62,505,397,233.0,375.0
34,2024-09-13T12:35:45+00:00,2024-09-13T12:41:45+00:00,6.0,82,24,79.0,375.0
35,2024-09-13T12:48:00+00:00,2024-09-13T13:13:02+00:00,25.03,364,145,174.0,376.0
36,2024-09-16T06:10:44+00:00,2024-09-16T07:00:35+00:00,49.85,699,534,250.0,411.0
37,2024-09-16T10:00:06+00:00,2024-09-16T10:05:07+00:00,5.02,71,27,197.0,375.0
38,2024-09-16T10:29:07+00:00,2024-09-16T10:34:24+00:00,5.28,73,22,113.0,374.0
39,2024-09-16T15:24:05+00:00,2024-09-16T16:26:38+00:00,62.55,913,535,219.0,375.0
40,2024-09-17T05:59:35+00:00,2024-09-17T07:18:56+00:00,79.35,1157,671,251.0,411.0
41,2024-09-17T10:03:56+00:00,2024-09-17T10:12:21+00:00,8.42,122,68,194.0,375.0
42,2024-09-17T10:42:07+00:00,2024-09-17T10:50:51+00:00,8.73,125,63,156.0,375.0
43,2024-09-17T17:46:54+00:00,2024-09-17T18:29:50+00:00,42.93,626,482,253.0,375.0
44,2024-09-18T06:09:27+00:00,2024-09-18T06:55:43+00:00,46.27,625,454,251.0,376.0
45,2024-09-18T10:32:56+00:00,2024-09-18T10:38:08+00:00,5.2,75,26,196.0,375.0
46,2024-09-18T10:50:29+00:00,2024-09-18T10:57:00+00:00,6.52,90,28,150.0,375.0
47,2024-09-18T15:39:50+00:00,2024-09-18T16:40:39+00:00,60.82,887,555,243.0,411.0
48,2024-10-11T06:13:44+00:00,2024-10-11T06:37:05+00:00,23.35,273,120,223.0,411.0
49,2024-10-11T06:43:18+00:00,2024-10-11T07:11:55+00:00,28.62,413,346,254.0,411.0
50,2024-10-11T09:37:00+00:00,2024-10-11T09:49:38+00:00,12.63,183,87,249.0,375.0
51,2024-10-11T09:58:41+00:00,2024-10-11T10:14:39+00:00,15.97,230,96,149.0,411.0
52,2024-10-11T14:40:45+00:00,2024-10-11T15:59:00+00:00,78.25,1144,579,210.0,376.0
53,2024-10-14T06:08:20+00:00,2024-10-14T07:14:36+00:00,66.27,968,591,245.0,411.0
54,2024-10-14T15:09:59+00:00,2024-10-14T16:04:44+00:00,54.75,798,470,235.0,376.0
55,2024-10-15T06:09:00+00:00,2024-10-15T06:58:50+00:00,49.83,729,538,248.0,411.0
56,2024-10-15T14:39:42+00:00,2024-10-15T15:41:40+00:00,61.97,903,498,254.0,378.0
57,2024-10-15T15:56:45+00:00,2024-10-15T16:06:48+00:00,10.05,145,67,175.0,375.0
58,2024-10-16T06:04:53+00:00,2024-10-16T07:18:18+00:00,73.42,963,574,249.0,407.0
59,2024-10-16T09:53:45+00:00,2024-10-16T10:25:44+00:00,31.98,398,195,216.0,376.0
60,2024-10-16T10:57:04+00:00,2024-10-16T11:01:29+00:00,4.42,62,25,165.0,375.0
61,2024-10-16T15:40:58+00:00,2024-10-16T16:29:58+00:00,49.0,713,470,255.0,411.0
62,2024-10-17T06:14:29+00:00,2024-10-17T06:58:41+00:00,44.2,643,494,255.0,411.0
63,2024-10-17T13:57:46+00:00,2024-10-17T14:49:24+00:00,51.63,752,473,254.0,407.0
64,2024-10-23T14:58:37+00:00,2024-10-23T14:59:59+00:00,1.37,17,0,1.0,359.0
65,2024-10-28T07:08:05+00:00,2024-10-28T07:56:35+00:00,48.5,707,518,255.0,411.0
66,2024-10-28T17:22:51+00:00,2024-10-28T18:10:21+00:00,47.5,693,493,234.0,375.0
67,2024-10-28T18:16:08+00:00,2024-10-28T18:25:23+00:00,9.25,131,29,150.0,375.0
68,2024-10-29T07:14:47+00:00,2024-10-29T07:25:03+00:00,10.27,146,58,168.0,375.0
69,2024-11-04T08:35:58+00:00,2024-11-04T08:38:51+00:00,2.88,39,8,21.0,409.0
70,2024-11-05T15:45:55+00:00,2024-11-05T15:48:03+00:00,2.13,28,0,1.0,12.0
71,2024-11-06T13:46:16+00:00,2024-11-06T13:47:33+00:00,1.28,15,1,18.0,374.0
72,2024-11-06T14:06:14+00:00,2024-11-06T14:07:52+00:00,1.63,18,1,25.0,369.0
73,2024-11-06T14:50:00+00:00,2024-11-06T14:51:09+00:00,1.15,14,1,13.0,374.0
74,2024-11-06T15:25:41+00:00,2024-11-06T15:26:52+00:00,1.18,14,1,13.0,374.0
75,2024-11-07T13:24:36+00:00,2024-11-07T13:27:23+00:00,2.78,32,4,16.0,410.0
76,2024-11-07T14:19:54+00:00,2024-11-07T14:28:19+00:00,8.42,44,6,14.0,374.0
77,2024-11-08T13:32:27+00:00,2024-11-08T13:35:55+00:00,3.47,46,25,31.0,410.0
78,2024-11-25T07:16:45+00:00,2024-11-25T08:14:10+00:00,57.42,842,539,254.0,411.0
79,2024-11-25T16:34:37+00:00,2024-11-25T17:27:19+00:00,52.7,759,509,251.0,411.0
80,2024-11-26T07:07:02+00:00,2024-11-26T08:22:54+00:00,75.87,1049,620,238.0,411.0
81,2024-11-26T16:42:49+00:00,2024-11-26T17:49:24+00:00,66.58,970,585,225.0,411.0
82,2024-11-27T06:47:14+00:00,2024-11-27T07:37:15+00:00,50.02,714,554,254.0,411.0
83,2024-11-27T17:15:35+00:00,2024-11-27T17:58:55+00:00,43.33,633,486,247.0,411.0
84,2024-11-28T07:18:51+00:00,2024-11-28T08:04:15+00:00,45.4,662,493,215.0,411.0
85,2024-11-28T15:22:21+00:00,2024-11-28T16:29:33+00:00,67.2,909,567,247.0,411.0
86,2024-12-02T07:13:34+00:00,2024-12-02T07:54:14+00:00,40.67,594,497,252.0,411.0
87,2024-12-02T10:59:03+00:00,2024-12-02T11:07:01+00:00,7.97,114,61,183.0,375.0
88,2024-12-02T11:36:02+00:00,2024-12-02T11:43:38+00:00,7.6,109,62,224.0,411.0
89,2024-12-02T16:10:42+00:00,2024-12-02T16:52:06+00:00,41.4,604,471,254.0,411.0
90,2024-12-03T07:09:21+00:00,2024-12-03T07:58:28+00:00,49.12,716,513,236.0,411.0
91,2024-12-03T08:05:45+00:00,2024-12-03T08:11:11+00:00,5.43,74,30,117.0,411.0
92,2024-12-03T18:51:17+00:00,2024-12-03T19:31:10+00:00,39.88,581,477,233.0,411.0
93,2024-12-04T07:07:10+00:00,2024-12-04T07:49:31+00:00,42.35,618,490,246.0,411.0
94,2024-12-04T11:17:30+00:00,2024-12-04T11:22:57+00:00,5.45,77,36,135.0,410.0
95,2024-12-04T11:58:21+00:00,2024-12-04T12:04:38+00:00,6.28,86,39,153.0,410.0
96,2024-12-04T16:30:02+00:00,2024-12-04T17:46:12+00:00,76.17,936,532,252.0,411.0
97,2024-12-05T09:28:16+00:00,2024-12-05T09:54:32+00:00,26.27,365,167,192.0,411.0
98,2024-12-05T12:21:46+00:00,2024-12-05T12:41:42+00:00,19.93,289,170,181.0,411.0
99,2024-12-06T11:28:22+00:00,2024-12-06T11:31:13+00:00,2.85,39,13,78.0,374.0
100,2024-12-06T14:59:23+00:00,2024-12-06T15:00:53+00:00,1.5,21,0,0.0,3.0
101,2024-12-06T16:12:51+00:00,2024-12-06T16:15:14+00:00,2.38,32,0,0.0,3.0
102,2024-12-09T07:06:08+00:00,2024-12-09T07:11:38+00:00,5.5,77,54,111.0,374.0
103,2024-12-09T07:18:50+00:00,2024-12-09T08:06:18+00:00,47.47,673,468,192.0,411.0
104,2024-12-09T09:22:49+00:00,2024-12-09T09:25:50+00:00,3.02,41,5,47.0,410.0
105,2024-12-09T10:47:41+00:00,2024-12-09T10:50:43+00:00,3.03,43,4,25.0,410.0
106,2024-12-09T16:45:25+00:00,2024-12-09T17:40:11+00:00,54.77,764,543,234.0,411.0
107,2024-12-10T06:54:38+00:00,2024-12-10T07:57:01+00:00,62.38,910,612,252.0,411.0
108,2024-12-10T11:07:02+00:00,2024-12-10T11:15:13+00:00,8.18,118,64,193.0,410.0
109,2024-12-10T11:43:53+00:00,2024-12-10T11:52:02+00:00,8.15,115,76,149.0,410.0
110,2024-12-10T17:50:15+00:00,2024-12-10T18:51:14+00:00,60.98,820,545,255.0,411.0
111,2024-12-11T07:07:25+00:00,2024-12-11T08:00:46+00:00,53.35,778,594,253.0,411.0
112,2024-12-11T10:56:28+00:00,2024-12-11T11:06:25+00:00,9.95,144,77,208.0,411.0
113,2024-12-11T11:27:55+00:00,2024-12-11T11:35:38+00:00,7.72,110,44,166.0,411.0
114,2024-12-11T16:07:20+00:00,2024-12-11T17:01:41+00:00,54.35,793,536,252.0,411.0
115,2024-12-12T07:03:29+00:00,2024-12-12T07:36:36+00:00,33.12,482,372,236.0,411.0
116,2024-12-12T08:16:30+00:00,2024-12-12T08:40:04+00:00,23.57,342,155,204.0,411.0
117,2024-12-12T08:54:53+00:00,2024-12-12T09:40:21+00:00,45.47,607,334,255.0,411.0
118,2024-12-12T09:57:26+00:00,2024-12-12T10:04:51+00:00,7.42,105,26,139.0,375.0
119,2024-12-16T10:01:23+00:00,2024-12-16T10:34:59+00:00,33.6,489,432,254.0,411.0
120,2024-12-16T11:03:05+00:00,2024-12-16T11:08:17+00:00,5.2,73,27,165.0,411.0
121,2024-12-16T15:36:15+00:00,2024-12-16T16:31:24+00:00,55.15,776,504,254.0,411.0
122,2024-12-16T18:37:48+00:00,2024-12-16T18:43:24+00:00,5.6,79,38,120.0,411.0
123,2024-12-16T19:09:25+00:00,2024-12-16T19:16:12+00:00,6.78,97,15,101.0,411.0
124,2024-12-17T08:18:18+00:00,2024-12-17T08:32:28+00:00,14.17,205,135,192.0,375.0
125,2024-12-17T08:41:43+00:00,2024-12-17T09:22:47+00:00,41.07,597,482,254.0,411.0
126,2024-12-17T11:15:13+00:00,2024-12-17T11:22:47+00:00,7.57,108,54,207.0,411.0
127,2024-12-17T11:49:44+00:00,2024-12-17T11:58:23+00:00,8.65,121,45,202.0,411.0
128,2024-12-17T15:24:31+00:00,2024-12-17T16:28:15+00:00,63.73,930,630,248.0,411.0
129,2024-12-18T08:21:21+00:00,2024-12-18T09:05:25+00:00,44.07,643,576,215.0,411.0
130,2024-12-18T12:00:26+00:00,2024-12-18T12:08:31+00:00,8.08,115,58,151.0,375.0
131,2024-12-18T12:44:59+00:00,2024-12-18T12:52:30+00:00,7.52,108,66,130.0,375.0
132,2024-12-18T16:21:50+00:00,2024-12-18T16:57:31+00:00,35.68,521,402,208.0,376.0
133,2024-12-18T17:04:05+00:00,2024-12-18T17:33:02+00:00,28.95,421,144,243.0,375.0
134,2024-12-19T07:26:17+00:00,2024-12-19T07:40:52+00:00,14.58,211,137,176.0,411.0
135,2024-12-19T10:40:37+00:00,2024-12-19T11:21:03+00:00,40.43,590,479,252.0,399.0
136,2024-12-19T11:31:47+00:00,2024-12-19T11:39:05+00:00,7.3,104,46,196.0,375.0
137,2024-12-19T11:53:34+00:00,2024-12-19T12:02:12+00:00,8.63,120,41,94.0,375.0
138,2024-12-19T15:54:22+00:00,2024-12-19T16:30:10+00:00,35.8,523,410,252.0,411.0
139,2024-12-19T16:38:15+00:00,2024-12-19T17:01:14+00:00,22.98,333,158,209.0,375.0
140,2025-01-07T07:10:44+00:00,2025-01-07T07:50:09+00:00,39.42,575,500,252.0,411.0
141,2025-01-07T11:11:29+00:00,2025-01-07T11:15:52+00:00,4.38,60,26,170.0,410.0
142,2025-01-07T11:45:16+00:00,2025-01-07T11:50:58+00:00,5.7,77,41,166.0,410.0
143,2025-01-07T16:13:26+00:00,2025-01-07T16:53:43+00:00,40.28,589,478,251.0,411.0
144,2025-01-08T17:16:02+00:00,2025-01-08T17:22:55+00:00,6.88,97,53,153.0,410.0
145,2025-01-09T07:16:48+00:00,2025-01-09T08:06:29+00:00,49.68,726,479,248.0,411.0
146,2025-01-09T16:48:20+00:00,2025-01-09T17:34:29+00:00,46.15,674,502,235.0,411.0
147,2025-01-13T07:16:43+00:00,2025-01-13T08:03:26+00:00,46.72,682,562,247.0,411.0
148,2025-01-13T11:25:43+00:00,2025-01-13T11:31:09+00:00,5.43,76,38,146.0,410.0
149,2025-01-13T11:58:21+00:00,2025-01-13T12:03:07+00:00,4.77,65,33,182.0,410.0
150,2025-01-13T16:42:57+00:00,2025-01-13T17:30:32+00:00,47.58,691,532,255.0,411.0
151,2025-01-14T06:58:41+00:00,2025-01-14T07:55:01+00:00,56.33,749,572,253.0,411.0
152,2025-01-14T16:46:23+00:00,2025-01-14T17:30:42+00:00,44.32,646,476,246.0,411.0
153,2025-01-15T07:09:41+00:00,2025-01-15T08:04:17+00:00,54.6,796,562,200.0,411.0
154,2025-01-15T15:56:07+00:00,2025-01-15T16:51:22+00:00,55.25,806,519,221.0,411.0
155,2025-01-16T07:10:54+00:00,2025-01-16T08:03:17+00:00,52.38,764,555,247.0,411.0
156,2025-01-16T16:21:49+00:00,2025-01-16T17:28:06+00:00,66.28,910,553,245.0,411.0
157,2025-01-16T19:55:02+00:00,2025-01-16T20:03:23+00:00,8.35,121,66,121.0,410.0
158,2025-01-17T11:40:28+00:00,2025-01-17T11:49:25+00:00,8.95,127,57,121.0,410.0
159,2025-04-24T10:28:34+00:00,2025-04-24T10:40:54+00:00,12.33,155,73,82.0,375.0
160,2025-04-24T10:47:46+00:00,2025-04-24T10:55:36+00:00,7.83,112,62,176.0,375.0
161,2025-04-24T15:06:23+00:00,2025-04-24T16:06:58+00:00,60.58,812,514,239.0,411.0
162,2025-04-25T06:22:15+00:00,2025-04-25T06:25:16+00:00,3.02,41,9,24.0,410.0
163,2025-04-25T09:23:57+00:00,2025-04-25T09:25:46+00:00,1.82,23,3,20.0,366.0
164,2025-04-25T09:38:35+00:00,2025-04-25T09:38:35+00:00,0.0,1,0,0.0,6.0
165,2025-04-25T09:58:28+00:00,2025-04-25T09:59:31+00:00,1.05,11,0,2.0,22.0
166,2025-04-28T06:17:37+00:00,2025-04-28T06:24:41+00:00,7.07,96,2,21.0,374.0
167,2025-04-28T06:56:20+00:00,2025-04-28T07:00:19+00:00,3.98,53,49,23.0,375.0
168,2025-04-28T07:42:19+00:00,2025-04-28T07:43:01+00:00,0.7,4,1,11.0,375.0
169,2025-04-28T12:03:44+00:00,2025-04-28T12:40:14+00:00,36.5,509,286,192.0,377.0
170,2025-04-28T12:52:10+00:00,2025-04-28T13:33:48+00:00,41.63,596,492,248.0,376.0
171,2025-04-30T13:03:40+00:00,2025-04-30T13:05:09+00:00,1.48,15,1,17.0,374.0
172,2025-04-30T13:12:39+00:00,2025-04-30T13:14:17+00:00,1.63,22,0,0.0,6.0
173,2025-05-07T07:29:13+00:00,2025-05-07T07:32:22+00:00,3.15,32,5,55.0,410.0
174,2025-05-09T12:21:48+00:00,2025-05-09T12:24:59+00:00,3.18,48,0,1.0,4.0
175,2025-05-09T16:10:41+00:00,2025-05-09T16:12:34+00:00,1.88,24,1,20.0,373.0
176,2025-05-14T10:56:39+00:00,2025-05-14T10:56:39+00:00,0.0,1,0,,
177,2025-05-14T11:40:49+00:00,2025-05-14T11:42:33+00:00,1.73,29,4,35.0,374.0
178,2025-05-14T14:15:31+00:00,2025-05-14T14:24:00+00:00,8.48,123,61,195.0,375.0
179,2025-05-15T06:01:10+00:00,2025-05-15T06:27:12+00:00,26.03,377,231,227.0,375.0
180,2025-05-15T09:25:20+00:00,2025-05-15T09:32:58+00:00,7.63,63,0,0.0,4.0
181,2025-05-15T11:15:01+00:00,2025-05-15T11:15:01+00:00,0.0,1,0,0.0,2.0
182,2025-05-15T11:44:50+00:00,2025-05-15T11:52:49+00:00,7.98,39,5,73.0,375.0
183,2025-05-15T12:08:27+00:00,2025-05-15T12:09:51+00:00,1.4,18,0,0.0,5.0
184,2025-05-19T07:35:40+00:00,2025-05-19T07:37:18+00:00,1.63,22,0,0.0,3.0
185,2025-05-19T07:49:51+00:00,2025-05-19T07:52:25+00:00,2.57,34,0,1.0,5.0
186,2025-05-19T08:50:00+00:00,2025-05-19T08:52:20+00:00,2.33,29,9,25.0,372.0
187,2025-05-19T10:10:54+00:00,2025-05-19T10:13:59+00:00,3.08,43,0,1.0,4.0
188,2025-05-20T07:25:44+00:00,2025-05-20T07:30:27+00:00,4.72,33,0,0.0,3.0
189,2025-05-20T11:10:30+00:00,2025-05-20T11:12:22+00:00,1.87,28,6,26.0,372.0
190,2025-05-20T15:02:01+00:00,2025-05-20T15:05:45+00:00,3.73,49,0,0.0,4.0
191,2025-05-20T15:12:39+00:00,2025-05-20T15:19:43+00:00,7.07,38,1,24.0,361.0
192,2025-05-21T10:29:58+00:00,2025-05-21T11:05:09+00:00,35.18,513,291,243.0,376.0
193,2025-05-22T06:31:30+00:00,2025-05-22T07:16:55+00:00,45.42,663,496,254.0,411.0
194,2025-05-22T10:25:17+00:00,2025-05-22T10:32:39+00:00,7.37,105,46,156.0,375.0
195,2025-05-22T10:51:44+00:00,2025-05-22T11:01:02+00:00,9.3,132,60,111.0,375.0
196,2025-05-22T15:00:13+00:00,2025-05-22T16:00:56+00:00,60.72,885,574,253.0,411.0
197,2025-05-23T06:12:01+00:00,2025-05-23T06:17:13+00:00,5.2,75,38,177.0,410.0
198,2025-05-23T06:28:24+00:00,2025-05-23T07:19:15+00:00,50.85,657,468,253.0,411.0
199,2025-05-23T10:22:57+00:00,2025-05-23T10:32:02+00:00,9.08,131,59,120.0,375.0
200,2025-05-23T10:59:42+00:00,2025-05-23T11:06:17+00:00,6.58,94,22,124.0,375.0
201,2025-05-23T11:15:19+00:00,2025-05-23T11:21:04+00:00,5.75,78,36,103.0,375.0
202,2025-05-23T15:12:33+00:00,2025-05-23T15:59:20+00:00,46.78,683,506,249.0,376.0
203,2025-05-26T06:14:12+00:00,2025-05-26T06:56:14+00:00,42.03,604,483,254.0,404.0
204,2025-05-26T10:07:08+00:00,2025-05-26T10:16:05+00:00,8.95,129,46,195.0,375.0
205,2025-05-26T10:34:49+00:00,2025-05-26T10:43:24+00:00,8.58,122,44,131.0,375.0
206,2025-05-26T15:01:16+00:00,2025-05-26T15:53:13+00:00,51.95,758,505,238.0,411.0
207,2025-05-26T18:24:45+00:00,2025-05-26T18:43:04+00:00,18.32,264,123,166.0,375.0
208,2025-05-27T05:23:00+00:00,2025-05-27T06:27:44+00:00,64.73,945,662,249.0,411.0
209,2025-05-27T09:35:10+00:00,2025-05-27T09:43:25+00:00,8.25,120,44,194.0,375.0
210,2025-05-27T10:05:02+00:00,2025-05-27T10:13:00+00:00,7.97,110,40,128.0,375.0
211,2025-05-27T16:10:01+00:00,2025-05-27T17:02:04+00:00,52.05,760,504,212.0,410.0
212,2025-05-27T20:05:11+00:00,2025-05-27T20:18:51+00:00,13.67,199,28,84.0,375.0
213,2025-05-28T06:05:48+00:00,2025-05-28T07:10:35+00:00,64.78,881,591,246.0,376.0
214,2025-05-28T10:10:47+00:00,2025-05-28T10:29:38+00:00,18.85,226,122,185.0,375.0
215,2025-05-28T17:35:28+00:00,2025-05-28T18:27:28+00:00,52.0,762,512,255.0,410.0
216,2025-06-02T05:57:13+00:00,2025-06-02T05:59:07+00:00,1.9,26,3,21.0,361.0
217,2025-06-03T06:31:24+00:00,2025-06-03T07:13:30+00:00,42.1,615,484,252.0,411.0
218,2025-06-03T10:07:28+00:00,2025-06-03T10:16:26+00:00,8.97,129,49,111.0,375.0
219,2025-06-03T10:48:15+00:00,2025-06-03T10:57:40+00:00,9.42,132,51,155.0,375.0
220,2025-06-03T14:29:32+00:00,2025-06-03T14:59:10+00:00,29.63,432,357,247.0,412.0
221,2025-06-03T15:39:12+00:00,2025-06-03T16:12:40+00:00,33.47,428,185,179.0,376.0
222,2025-06-10T06:20:03+00:00,2025-06-10T07:02:14+00:00,42.18,614,479,235.0,376.0
223,2025-06-10T10:01:48+00:00,2025-06-10T10:10:40+00:00,8.87,127,56,179.0,375.0
224,2025-06-10T10:59:25+00:00,2025-06-10T11:08:06+00:00,8.68,125,70,179.0,375.0
225,2025-06-10T16:15:19+00:00,2025-06-10T16:58:02+00:00,42.72,623,484,243.0,412.0
226,2025-06-11T06:10:43+00:00,2025-06-11T06:55:01+00:00,44.3,620,451,250.0,411.0
227,2025-06-11T10:05:39+00:00,2025-06-11T10:14:42+00:00,9.05,130,54,195.0,375.0
228,2025-06-11T10:38:41+00:00,2025-06-11T10:47:27+00:00,8.77,125,43,173.0,375.0
229,2025-06-11T15:13:55+00:00,2025-06-11T16:05:33+00:00,51.63,752,544,253.0,411.0
230,2025-06-12T06:11:12+00:00,2025-06-12T06:57:54+00:00,46.7,680,504,203.0,376.0
231,2025-06-12T10:07:49+00:00,2025-06-12T10:15:56+00:00,8.12,116,43,206.0,375.0
232,2025-06-12T10:40:50+00:00,2025-06-12T10:50:32+00:00,9.7,139,55,91.0,376.0
233,2025-06-12T14:54:51+00:00,2025-06-12T14:57:12+00:00,2.35,32,1,16.0,360.0
234,2025-06-12T15:04:12+00:00,2025-06-12T15:55:50+00:00,51.63,750,506,246.0,376.0
235,2025-06-17T06:10:53+00:00,2025-06-17T06:17:19+00:00,6.43,92,36,59.0,375.0
236,2025-06-17T06:24:16+00:00,2025-06-17T07:19:46+00:00,55.5,741,478,215.0,376.0
237,2025-06-17T10:49:12+00:00,2025-06-17T10:56:33+00:00,7.35,106,52,203.0,375.0
238,2025-06-17T11:31:15+00:00,2025-06-17T11:38:57+00:00,7.7,108,61,109.0,375.0
239,2025-06-17T15:15:01+00:00,2025-06-17T16:07:35+00:00,52.57,767,512,236.0,376.0
240,2025-06-18T06:10:55+00:00,2025-06-18T06:56:26+00:00,45.52,666,476,247.0,411.0
241,2025-06-18T09:57:55+00:00,2025-06-18T10:05:33+00:00,7.63,109,31,209.0,375.0
242,2025-06-18T10:27:53+00:00,2025-06-18T10:35:42+00:00,7.82,109,38,194.0,375.0
243,2025-06-18T13:42:43+00:00,2025-06-18T14:47:54+00:00,65.18,895,508,247.0,412.0
244,2025-06-23T11:28:12+00:00,2025-06-23T11:31:32+00:00,3.33,44,4,25.0,375.0
245,2025-06-23T13:56:52+00:00,2025-06-23T14:13:44+00:00,16.87,218,69,158.0,375.0
246,2025-06-23T14:23:31+00:00,2025-06-23T14:49:43+00:00,26.2,324,76,137.0,376.0
247,2025-06-23T15:04:00+00:00,2025-06-23T15:06:10+00:00,2.17,28,0,0.0,5.0
248,2025-06-24T09:10:46+00:00,2025-06-24T09:10:46+00:00,0.0,1,0,0.0,2.0
249,2025-06-24T12:10:59+00:00,2025-06-24T12:12:01+00:00,1.03,11,0,0.0,4.0
250,2025-06-24T12:17:48+00:00,2025-06-24T12:22:29+00:00,4.68,64,0,0.0,3.0
251,2025-06-25T06:26:46+00:00,2025-06-25T06:28:07+00:00,1.35,17,1,22.0,374.0
252,2025-06-27T06:22:01+00:00,2025-06-27T06:22:01+00:00,0.0,1,0,0.0,5.0
253,2025-06-27T10:58:18+00:00,2025-06-27T11:00:32+00:00,2.23,28,1,21.0,374.0
254,2025-06-30T05:52:06+00:00,2025-06-30T07:01:09+00:00,69.05,1011,564,222.0,376.0
255,2025-06-30T10:38:15+00:00,2025-06-30T10:47:55+00:00,9.67,139,44,111.0,375.0
256,2025-06-30T11:30:51+00:00,2025-06-30T11:39:14+00:00,8.38,121,66,161.0,376.0
257,2025-06-30T18:32:18+00:00,2025-06-30T19:14:26+00:00,42.13,616,462,194.0,376.0
258,2025-07-01T06:00:41+00:00,2025-07-01T06:52:43+00:00,52.03,758,463,242.0,400.0
259,2025-07-01T10:26:44+00:00,2025-07-01T10:36:05+00:00,9.35,134,38,111.0,376.0
260,2025-07-01T11:04:12+00:00,2025-07-01T11:12:25+00:00,8.22,117,47,128.0,375.0
261,2025-07-01T19:33:17+00:00,2025-07-01T20:17:56+00:00,44.65,651,448,247.0,376.0
262,2025-07-02T05:50:09+00:00,2025-07-02T06:04:25+00:00,14.27,129,30,78.0,375.0
263,2025-07-02T06:11:33+00:00,2025-07-02T06:51:33+00:00,40.0,559,417,255.0,412.0
264,2025-07-02T11:13:02+00:00,2025-07-02T11:25:58+00:00,12.93,187,71,101.0,376.0
265,2025-07-02T12:10:42+00:00,2025-07-02T12:19:43+00:00,9.02,129,66,162.0,376.0
266,2025-07-02T19:33:33+00:00,2025-07-02T20:14:00+00:00,40.45,588,442,232.0,376.0
267,2025-07-03T06:08:27+00:00,2025-07-03T06:59:02+00:00,50.58,679,433,252.0,376.0
